Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-March-2024,785.00,823.00,783.40,804.00,807.720793394704375059,10537,1422,8510954.00,6431,61.03,39.60,19.00
27-March-2024,757.55,789.20,757.30,784.70,771.904203997243280496,2902,350,2240066.00,1453,50.07,31.90,27.15
26-March-2024,768.60,768.60,752.15,754.45,758.586456799909410032,8831,710,6699077.00,5301,60.03,16.45,-14.15
22-March-2024,753.95,765.85,746.30,762.05,758.191029451499594704,3701,274,2806065.00,2621,70.82,19.55,8.10
21-March-2024,740.95,746.50,737.80,744.45,743.638108293351610692,1459,205,1084968.00,1089,74.64,8.70,3.50
20-March-2024,732.50,749.60,724.55,738.80,737.379180994060643951,3199,351,2358876.00,1837,57.42,25.05,6.30
19-March-2024,726.35,737.80,726.00,730.90,732.704433497536945812,609,99,446217.00,378,62.07,11.80,4.55
18-March-2024,752.85,752.85,726.70,740.20,731.521499448732083792,907,174,663490.00,284,31.31,26.15,-12.65
15-March-2024,732.00,740.95,722.75,740.15,732.661773009599096555,5313,422,3892632.00,2888,54.36,18.20,8.15
14-March-2024,701.05,757.30,701.05,739.00,742.935594465532019101,8167,985,6067555.00,2867,35.10,56.25,37.95
13-March-2024,741.25,742.00,713.00,716.80,724.794075144508670520,2768,309,2006230.00,1163,42.02,29.00,-24.45
12-March-2024,743.15,754.15,741.00,745.25,747.143263757115749525,2108,271,1574978.00,791,37.52,13.15,2.10
11-March-2024,759.80,773.00,743.70,747.25,758.771764032073310423,3492,451,2649631.00,1927,55.18,29.30,-12.55
7-March-2024,769.30,769.55,754.20,762.25,762.821494399546292357,7053,648,5380180.00,4646,65.87,15.35,-7.05
6-March-2024,775.15,788.85,763.15,769.90,777.691135248773651016,5708,709,4439061.00,1881,32.95,25.70,-5.25
