Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
8-May-2023,3355.05,3406.00,3355.05,3392.15,3385.609895398832060578,15583,2581,52757959.00,9744,62.53,50.95,37.10
5-May-2023,3349.95,3392.05,3331.50,3357.90,3363.600851916812828864,7982,1299,26848262.00,1734,21.72,60.55,7.95
4-May-2023,3325.60,3380.00,3320.75,3337.00,3347.160460728825340085,10071,1739,33709253.00,4217,41.87,59.25,11.40
3-May-2023,3360.00,3360.00,3323.60,3348.45,3342.795375218150087260,4584,863,15323374.00,1469,32.05,36.40,-11.55
2-May-2023,3320.00,3380.00,3320.00,3354.00,3352.317118742349075446,15521,2047,52031314.00,6285,40.49,60.00,34.00
28-April-2023,3263.80,3304.50,3263.80,3300.70,3292.598546775658492279,18717,2784,61627567.00,10166,54.31,40.70,36.90
27-April-2023,3257.85,3268.80,3238.50,3263.75,3258.349919153314714096,13606,2033,44333109.00,7073,51.98,30.30,5.90
26-April-2023,3226.00,3279.70,3226.00,3248.65,3257.912947921643573817,10465,1501,34094059.00,2105,20.11,53.70,22.65
25-April-2023,3183.00,3245.00,3156.75,3217.55,3206.034520448128244831,10979,1430,35199053.00,2275,20.72,88.25,34.55
24-April-2023,3199.40,3210.80,3158.00,3182.65,3176.127932076557778097,6949,1182,22070913.00,2590,37.27,52.80,-16.75
21-April-2023,3234.05,3256.70,3195.20,3199.55,3222.733798604187437686,6018,944,19394412.00,1553,25.81,61.50,-34.50
20-April-2023,3300.05,3300.05,3220.20,3246.85,3244.738300579669164428,7073,1367,22950034.00,2119,29.96,79.85,-53.20
19-April-2023,3243.95,3300.00,3243.95,3289.10,3283.802139866645991626,12898,2340,42354480.00,7255,56.25,56.05,45.15
18-April-2023,3249.95,3277.95,3221.75,3264.10,3251.048358573679302916,31101,2243,101110855.00,24668,79.32,56.20,14.15
17-April-2023,3213.15,3253.20,3208.60,3225.35,3229.195192617233608756,9319,1274,30092870.00,2134,22.90,44.60,12.20
13-April-2023,3135.00,3230.00,3134.55,3209.45,3199.747553337247993736,20436,2054,65390041.00,5654,27.67,95.45,74.45
12-April-2023,3052.00,3145.00,3038.50,3127.65,3098.191483757682177348,11390,1613,35288401.00,3232,28.38,106.50,75.65
11-April-2023,2925.90,3058.00,2925.90,3051.90,3032.892245334964821046,13076,1661,39658099.00,5167,39.52,132.10,126.00
10-April-2023,2963.10,2987.30,2954.70,2970.10,2974.059101067792401291,8054,1348,23953072.00,3643,45.23,32.60,7.00
6-April-2023,2949.00,2970.00,2924.45,2963.05,2951.740539942465147156,9038,1609,26677831.00,4362,48.26,45.55,14.05
5-April-2023,2990.00,3005.05,2923.25,2932.65,2952.950977964842782867,16156,1487,47707876.00,10680,66.11,81.80,-57.35
3-April-2023,3002.10,3039.00,2984.60,3002.75,3009.959979417986393002,17491,3229,52647210.00,5786,33.08,54.40,0.65
